SL No,Root Author,Root Author Aff,Root phd year,Scholar Link Link,Advisor,Adv aff,Avd phd year
1,Rahim Zaare-Nahandi,University of Minnesota - Twin Cities ,1982,https://scholar.google.com/citations?hl=en&user=IyL0nWkAAAAJ,Joel Lawrence Roberts,Harvard University ,1969
2,Rashid Zaare Nahandi,University of Tehran,1999,https://scholar.google.com/citations?hl=en&user=gL-KLQoAAAAJ,Rahim Zaare-Nahandi,University of Minnesota - Twin Cities ,1982
3,Masoud Zabihi,University of Minnesota - Twin Cities ,2021,https://scholar.google.com/citations?hl=en&user=_oxQqZwAAAAJ,Sachin S. Sapatnekar,University of Illinois at Urbana-Champaign,1992
4,Gergely Zábrádi,University of Cambridge ,2008,https://scholar.google.com/citations?hl=en&user=BwzLHvwAAAAJ,John Henry Coates,University of Cambridge,1969
5,Vytas Zacharovas,Vilniaus universitetas,2004,https://scholar.google.com/citations?hl=en&user=bpnHc18AAAAJ,Eugenijus Manstavičius,Habil.Dr. Sci. Vilniaus universitetas,"1974, 1994"
6,Pablo Zavattieri,Purdue University,2000,https://scholar.google.com/citations?hl=en&user=OEabjp8AAAAJ,Horacio Espinosa,Brown University,1992
7,Jakub Zavodny,University of Oxford,2013,https://scholar.google.com/citations?hl=en&user=o1mtmsMAAAAJ,Dan Alexandru Olteanu,Ludwig-Maximilians-Universität München,2005
8,Vidhi Zala,University of Utah,2021,https://scholar.google.com/citations?hl=en&user=FtZUJ78AAAAJ,Robert Michael Kirby II,Brown University,2003
,,,,,Akil C. Narayan,Brown University,2009
10,Michael P. Zaletel,"University of California, Berkeley",2014,https://scholar.google.com/citations?hl=en&user=LGNFXjwAAAAJ,Joel Ellis Moore,Massachusetts Institute of Technology,2001
11,Constantin Zalinescu,Alexandru Ioan Cuza University of Iasi,1983,https://scholar.google.com/citations?hl=en&user=MVFC2agAAAAJ,Viorel P. Barbu,Alexandru Ioan Cuza University of Iasi,1969
12,Pavol Zajac,Slovak Institute of Technology,2008,https://scholar.google.com/citations?hl=en&user=kutD0ZsAAAAJ,Otokar Grošek,Slovak University of Technology,1978
13,Ilias Zadik,Massachusetts Institute of Technology,2019,https://scholar.google.com/citations?hl=en&user=okLwXk0AAAAJ,David Gamarnik,Massachusetts Institute of Technology,1997
14,Vojtěch Žádník,Masaryk University,2004,https://scholar.google.com/citations?hl=en&user=nOBLTF0AAAAJ,Jan Slovák,Charles University,1990
15,Stefano Zanero,Politecnico di Milano,2006,https://scholar.google.com/citations?hl=en&user=O2ndaqAAAAAJ,Giuseppe Serazzi,Università degli Studi di Pavia,1969
16,Renato Zanetti,University of Texas at Austin,2007,https://scholar.google.com/citations?hl=en&user=ugUlsMQAAAAJ,Robert H. Bishop,Rice University,1990
17,Catherine Zanbaka,University of North Carolina at Charlotte,2007,https://scholar.google.com/citations?hl=en&user=k0tCXygAAAAJ,Larry Franklin Hodges,North Carolina State University,1988
18,Antonella Zanna,University of Cambridge,1998,https://scholar.google.com/citations?hl=en&user=HmZIFSUAAAAJ,Arieh Iserles,Ben-Gurion University of the Negev,1978
19,Laure Zanna,Harvard University,2009,https://scholar.google.com/citations?hl=en&user=xWZmhjsAAAAJ,Eli Tziperman,Massachusetts Institute of Technology/Woods Hole Oceanographic Institution,1987
20,Bilal Zafar,Technische Universität Ilmenau,2014,https://scholar.google.com/citations?hl=en&user=WCba0mgAAAAJ,Martin Haardt,Technische Universität München,1996
21,Hamim Zafar,Rice University,2018,https://scholar.google.com/citations?hl=en&user=4LeNas8AAAAJ,Luay Nakhleh,University of Texas at Austin,2004
22,Sohail Zafar,"Abdus Salam School of Mathematical Sciences GC University, Lahore",2013,https://scholar.google.com/citations?hl=en&user=BNT44xYAAAAJ,Peter Schenzel,Martin-Luther-Universität Halle-Wittenberg,1976
23,Jafar Zafarani,Université de Liège,1975,https://scholar.google.com/citations?hl=en&user=NoX3tlkAAAAJ,Jean François Schmets,Université de Liège,1965
,,,,,Henri Georges Garnir,Université de Liège,1946
25,Filareti Zafiropoulos,University of Patras,1990,https://scholar.google.com/citations?hl=en&user=EvDaSGIAAAAJ,George Dassios,University of Illinois at Chicago,1975
26,Muhammad Zafrullah,University of London ,1974,https://scholar.google.com/citations?hl=en&user=56pdMcUAAAAJ,Paul Moritz Cohn,University of Cambridge,1952
27,George Xylomenos,"University of California, San Diego",1999,https://scholar.google.com/citations?hl=en&user=f7tP8gcAAAAJ,George Constantine Polyzos,University of Toronto,1989
28,Polychronis Xekalakis,The University of Edinburgh,2009,https://scholar.google.com/citations?hl=en&user=RoJiAvIAAAAJ,Marcelo Hehl Cintra,University of Illinois at Urbana-Champaign,2001
29,Marios Xanthidis,University of South Carolina,2022,https://scholar.google.com/citations?hl=en&user=yptHrjUAAAAJ,Ioannis Rekleitis,McGill University,2003
