,Root Author,Co Author,Scholar Link
0,Rahim Zaare-Nahandi,Hassan Haghighi,https://scholar.google.com/citations?user=knTioZMAAAAJ&hl=en&oe=ASCII
1,,Siamak Yassemi,https://scholar.google.com/citations?user=R-JmssQAAAAJ&hl=en&oe=ASCII
2,,Iraj Kalantari,https://scholar.google.com/citations?user=Tw03d38AAAAJ&hl=en&oe=ASCII
3,,Rashid Zaare Nahandi,https://scholar.google.com/citations?user=gL-KLQoAAAAJ&hl=en&oe=ASCII
4,,Hossein Ghodosi,https://scholar.google.com/citations?user=jIHOTfgAAAAJ&hl=en&oe=ASCII
5,,S. A. Seyed Fakhari,https://scholar.google.com/citations?user=GNlbsmgAAAAJ&hl=en&oe=ASCII
6,,Mohammad Sal Moslehian,https://scholar.google.com/citations?user=9kb-JFgAAAAJ&hl=en&oe=ASCII
7,,Matteo Varbaro,https://scholar.google.com/citations?user=5YBRdDkAAAAJ&hl=en&oe=ASCII
8,Rashid Zaare Nahandi,Ali Akbar Yazdan Pour,https://scholar.google.com/citations?user=48P9IKsAAAAJ&hl=en&oe=ASCII
9,,Abbas Nasrollah Nejad,https://scholar.google.com/citations?user=CNtxSb8AAAAJ&hl=en&oe=ASCII
10,,Mina Bigdeli,https://scholar.google.com/citations?user=sExGGpkAAAAJ&hl=en&oe=ASCII
11,,Ashkan Nikseresht,https://scholar.google.com/citations?user=7Jut7D0AAAAJ&hl=en&oe=ASCII
12,,Juergen Herzog,https://scholar.google.com/citations?user=S0f0V1AAAAAJ&hl=en&oe=ASCII
13,,leila sharifan,https://scholar.google.com/citations?user=VaWgYbkAAAAJ&hl=en&oe=ASCII
14,,Rahim Zaare-Nahandi,https://scholar.google.com/citations?user=IyL0nWkAAAAJ&hl=en&oe=ASCII
15,,Reza Jafarpour-Golzari,https://scholar.google.com/citations?user=CjHfgW4AAAAJ&hl=en&oe=ASCII
16,,Asghar Madadi,https://scholar.google.com/citations?user=E-fy64EAAAAJ&hl=en&oe=ASCII
