,Name,University,Year of Graduation,Advisor,Link
0,Abejide  Ade-Ibijola ,University of the Witwatersrand,2016,"[['Sigrid  Ewert ', 'Universiteit Stellenbosch', '1999'], ['Ian  Sanders ', 'University of Pretoria', '2002']]",https://scholar.google.com//citations?hl=en&user=yV98MIcAAAAJ
1,Jesús  Araujo ,[],[],[],https://scholar.google.com//citations?hl=en&user=AyPNr_oAAAAJ
2,Juan  Asenjo ,[],[],[],https://scholar.google.com//citations?hl=en&user=KZ07gAUAAAAJ
3,Jean-Francois  Aujol ,Université de Nice-Sophia Antipolis,2004,"[['Gilles  Aubert ', 'Université Pierre-et-Marie-Curie - Paris VI', '1986'], ['Laure  Blanc-Féraud ']]",https://scholar.google.com//citations?hl=en&user=-zd1xzMAAAAJ
4,Johan Pires Björgen ,[],[],[],https://scholar.google.com//citations?hl=en&user=zQavbsMAAAAJ
5,John Markus  Bjørndalen ,Scient. (Ph.D.) Universitetet i Tromsø – Norges arktiske universitet,2003,[['Otto J Anshus ']],https://scholar.google.com//citations?hl=en&user=_cP68xIAAAAJ
6,Dejan  Bojović ,University of Kragujevac,2000,"[['Boško S Jovanović ', 'University of Belgrade', '1976']]",https://scholar.google.com//citations?hl=en&user=MZLxFrcAAAAJ
7,Nebojša  Bojović ,[],[],[],https://scholar.google.com//citations?hl=en&user=IyN1jXQAAAAJ
8,Jorge  Castillejos ,University of Glasgow,2016,"[['Stuart Andrew White ', 'The University of Edinburgh', '2006']]",https://scholar.google.com//citations?hl=en&user=M5csqIIAAAAJ
9,Jean-François  Coeurjolly ,Université Joseph Fourier Grenoble I,2000,"[['Anestis  Antoniadis ', 'Université Scientifique et Médiacale de Grenoble (University of Grenoble)', '1983']]",https://scholar.google.com//citations?hl=en&user=lNtzCMsAAAAJ
10,Juan Manuel Cornejo ,Universidad Nacional del Sur,2011,"[['Manuel  Abad ', 'Universidad Nacional del Sur', '1987']]",https://scholar.google.com//citations?hl=en&user=WiTEwkoAAAAJ
11,Josue  Corujo ,Université Paris IX - Dauphine,2021,"[['Djalil  Chafai ', 'Université Paul Sabatier - Toulouse III', '2002'], ['Simona  Grusea ', 'Université de Provence - Aix-Marseille I', '2008']]",https://scholar.google.com//citations?hl=en&user=3QdTmnoAAAAJ
